zone,start_local,start_utc,duration_sec,accuracy,source
Randreihe,2026-05-18 15:30:00,2026-05-18 13:30:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 16:00:00,2026-05-18 14:00:00,113,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 16:30:00,2026-05-18 14:30:00,113,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 17:00:00,2026-05-18 15:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-18 17:30:00,2026-05-18 15:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 07:00:00,2026-05-19 05:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 08:00:00,2026-05-19 06:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 09:00:00,2026-05-19 07:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 09:30:00,2026-05-19 07:30:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 10:00:00,2026-05-19 08:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-19 10:00:00,2026-05-19 08:00:00,12,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 10:30:00,2026-05-19 08:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 11:00:00,2026-05-19 09:00:00,128,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-19 11:00:00,2026-05-19 09:00:00,22,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-19 11:00:00,2026-05-19 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-19 11:00:00,2026-05-19 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-19 11:30:00,2026-05-19 09:30:00,22,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 12:00:00,2026-05-19 10:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 12:30:00,2026-05-19 10:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 13:00:00,2026-05-19 11:00:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 13:30:00,2026-05-19 11:30:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 14:00:00,2026-05-19 12:00:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 14:30:00,2026-05-19 12:30:00,115,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 15:00:00,2026-05-19 13:00:00,114,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 15:30:00,2026-05-19 13:30:00,114,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 16:00:00,2026-05-19 14:00:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 16:30:00,2026-05-19 14:30:00,118,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-19 17:00:00,2026-05-19 15:00:00,120,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 07:00:00,2026-05-20 05:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 08:00:00,2026-05-20 06:00:00,116,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 09:00:00,2026-05-20 07:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 10:00:00,2026-05-20 08:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 10:00:00,2026-05-20 08:00:00,22,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 10:30:00,2026-05-20 08:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 10:30:00,2026-05-20 08:30:00,22,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 11:00:00,2026-05-20 09:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 2,2026-05-20 11:00:00,2026-05-20 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Reihe 3,2026-05-20 11:00:00,2026-05-20 09:00:00,72,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 11:30:00,2026-05-20 09:30:00,117,stunde_rekonstruiert,ha_lts_power_energy
Randreihe,2026-05-20 12:00:00,2026-05-20 10:00:00,117,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 12:00:00,2026-05-20 10:00:00,14,stunde_rekonstruiert,ha_lts_power_energy
Reihe 1,2026-05-20 12:30:00,2026-05-20 10:30:00,14,stunde_rekonstruiert,ha_lts_power_energy
